mu,combo,Tmax_frictionless,Tmax_capstan,hw_peak,error_vs_hw,k_mcp,k_pip,k_dip
0.0,Uniform — medium (S2·S2·S2),30.171428571428574,31.928571428571427,12.8,19.128571428571426,0.165,0.165,0.165
0.0,Graded stiff→soft (S1·S2·S3),24.47142857142857,24.664285714285715,3.0,21.664285714285715,0.789,0.165,0.072
0.0,Graded soft→stiff (S3·S2·S1),55.65,55.92857142857142,6.6,49.32857142857142,0.072,0.165,0.789
0.05,Uniform — medium (S2·S2·S2),31.071428571428573,3.3,12.8,9.5,0.165,0.165,0.165
0.05,Graded stiff→soft (S1·S2·S3),24.535714285714285,11.292857142857143,3.0,8.292857142857143,0.789,0.165,0.072
0.05,Graded soft→stiff (S3·S2·S1),55.714285714285715,14.27142857142857,6.6,7.671428571428571,0.072,0.165,0.789
0.1,Uniform — medium (S2·S2·S2),30.171428571428574,4.9071428571428575,12.8,7.892857142857143,0.165,0.165,0.165
0.1,Graded stiff→soft (S1·S2·S3),24.12857142857143,280.2642857142857,3.0,277.2642857142857,0.789,0.165,0.072
0.1,Graded soft→stiff (S3·S2·S1),55.73571428571428,14.25,6.6,7.65,0.072,0.165,0.789
0.15,Uniform — medium (S2·S2·S2),31.885714285714286,15.085714285714287,12.8,2.2857142857142865,0.165,0.165,0.165
0.15,Graded stiff→soft (S1·S2·S3),24.535714285714285,2.4428571428571426,3.0,0.5571428571428574,0.789,0.165,0.072
0.15,Graded soft→stiff (S3·S2·S1),55.5,9.021428571428572,6.6,2.4214285714285726,0.072,0.165,0.789
0.2,Uniform — medium (S2·S2·S2),31.007142857142856,19.885714285714286,12.8,7.085714285714285,0.165,0.165,0.165
0.2,Graded stiff→soft (S1·S2·S3),24.900000000000002,0.04285714285714286,3.0,2.9571428571428573,0.789,0.165,0.072
0.2,Graded soft→stiff (S3·S2·S1),55.714285714285715,2.2285714285714286,6.6,4.371428571428571,0.072,0.165,0.789
0.25,Uniform — medium (S2·S2·S2),31.15714285714286,3.771428571428572,12.8,9.028571428571428,0.165,0.165,0.165
0.25,Graded stiff→soft (S1·S2·S3),24.27857142857143,235.82142857142856,3.0,232.82142857142856,0.789,0.165,0.072
0.25,Graded soft→stiff (S3·S2·S1),55.542857142857144,3.6,6.6,2.9999999999999996,0.072,0.165,0.789
0.3,Uniform — medium (S2·S2·S2),31.95,3.535714285714286,12.8,9.264285714285714,0.165,0.165,0.165
0.3,Graded stiff→soft (S1·S2·S3),24.27857142857143,3.835714285714286,3.0,0.8357142857142859,0.789,0.165,0.072
0.3,Graded soft→stiff (S3·S2·S1),55.75714285714286,3.128571428571429,6.6,3.4714285714285706,0.072,0.165,0.789
