timestamp,trial_idx,event,state,force_n,force_raw_n,peak_n,capacity_n,grip_target_mm,finger_a_dL_mm,finger_b_dL_mm,finger_a_current_ma,finger_b_current_ma,pull_dL_mm,pull_current_ma,k_mcp,k_pip,k_dip
2026-06-23T15:05:20.496,3,,PULLING,-0.009968,-14.430316,0.0,nan,23.0,23.0,23.0,-753.2,543.38,3.880962,-2.69,1.0,1.0,1.0
2026-06-23T15:05:20.751,3,,PULLING,0.006777,-14.413571,0.006777,nan,23.0,23.0,23.0,-753.2,546.07,4.384439,-13.45,1.0,1.0,1.0
2026-06-23T15:05:21.135,3,,PULLING,0.601741,-13.818607,0.601741,nan,23.0,23.0,23.0,-750.51,543.38,5.150202,-8.07,1.0,1.0,1.0
2026-06-23T15:05:21.392,3,,PULLING,1.167906,-13.252442,1.167906,nan,23.0,23.0,23.0,-753.2,543.38,5.667933,-51.11,1.0,1.0,1.0
2026-06-23T15:05:21.647,3,,PULLING,3.435847,-10.984501,3.435847,nan,23.0,23.0,23.0,-753.2,543.38,6.177354,-86.08,1.0,1.0,1.0
2026-06-23T15:05:22.031,3,,PULLING,5.215514,-9.204834,5.215514,nan,23.0,23.0,23.0,-753.2,543.38,6.937208,-83.39,1.0,1.0,1.0
2026-06-23T15:05:22.287,3,,PULLING,8.769295,-5.651053,8.769295,nan,23.0,23.0,23.0,-750.51,546.07,7.459667,-96.84,1.0,1.0,1.0
2026-06-23T15:05:22.544,3,,PULLING,10.073935,-4.346413,10.073935,nan,23.0,23.0,23.0,-642.91,546.07,7.96746,-112.98,1.0,1.0,1.0
2026-06-23T15:05:22.927,3,,PULLING,13.413275,-1.007073,13.413275,nan,23.0,23.0,23.0,-642.91,548.76,8.733432,-131.81,1.0,1.0,1.0
2026-06-23T15:05:23.183,3,,PULLING,14.99798,0.577632,14.99798,nan,23.0,23.0,23.0,-642.91,546.07,9.252127,-129.12,1.0,1.0,1.0
2026-06-23T15:05:23.439,3,,PULLING,16.98531,2.564962,16.98531,nan,23.0,23.0,23.0,-642.91,548.76,9.759488,-99.53,1.0,1.0,1.0
2026-06-23T15:05:23.856,3,,PULLING,17.310777,2.89043,17.310777,nan,23.0,23.0,23.0,-645.6,546.07,10.606578,-126.43,1.0,1.0,1.0
2026-06-23T15:05:24.111,3,,PULLING,17.539352,3.119004,17.539352,nan,23.0,23.0,23.0,-645.6,546.07,11.108404,-177.54,1.0,1.0,1.0
2026-06-23T15:05:24.367,3,,PULLING,18.837681,4.417333,18.837681,nan,23.0,23.0,23.0,-645.6,548.76,11.61513,-156.02,1.0,1.0,1.0
2026-06-23T15:05:24.735,3,,PULLING,20.964877,6.544529,20.964877,nan,23.0,23.0,23.0,-648.29,540.69,12.368004,-147.95,1.0,1.0,1.0
2026-06-23T15:05:24.991,3,,PULLING,21.745904,7.325556,21.745904,nan,23.0,23.0,23.0,-648.29,538.0,12.869195,-169.47,1.0,1.0,1.0
2026-06-23T15:05:25.247,3,,PULLING,23.276226,8.855878,23.276226,nan,23.0,23.0,23.0,-650.98,538.0,13.375402,-169.47,1.0,1.0,1.0
2026-06-23T15:05:25.631,3,,PULLING,25.232782,10.812434,25.232782,nan,23.0,23.0,23.0,-650.98,535.31,14.136442,-193.68,1.0,1.0,1.0
2026-06-23T15:05:25.888,3,,PULLING,25.96021,11.539862,25.96021,nan,23.0,23.0,23.0,-650.98,538.0,14.659386,-212.51,1.0,1.0,1.0
